Plot 1000,Extension 2, Gaborone,25.91458488407026,-24.66272270445085
Plot 1001,Extension 2, Gaborone,25.91471086025532,-24.66286205475774
Plot 1002,Extension 2, Gaborone,25.91475899701426,-24.66293304573461
Plot 1003,Extension 2, Gaborone,25.91491677266922,-24.66307433756868
Plot 1004,Extension 2, Gaborone,25.91507461068246,-24.66312917762446
Plot 1005,Extension 2, Gaborone,25.9151891341192,-24.66321640923265
Plot 1006,Extension 2, Gaborone,25.91528895300354,-24.66330200445441
Plot 1007,Extension 2, Gaborone,25.91540113375208,-24.66339188137102
Plot 1008,Extension 2, Gaborone,25.91552355110516,-24.66350165062938
Plot 1009,Extension 2, Gaborone,25.91563113110049,-24.66358467798016
Plot 1010,Extension 2, Gaborone,25.91574665491341,-24.6636834010324
Plot 1011,Extension 2, Gaborone,25.91587741801783,-24.66378883810028
Plot 1012,Extension 2, Gaborone,25.91553386906654,-24.66419189197128
Plot 1013,Extension 2, Gaborone,25.91534712925255,-24.66407832934415
Plot 1014,Extension 2, Gaborone,25.91523225708573,-24.66398168986427
Plot 1015,Extension 2, Gaborone,25.91512013576485,-24.66389626714086
Plot 1016,Extension 2, Gaborone,25.91500527169849,-24.66379517612284
Plot 1017,Extension 2, Gaborone,25.91489255198036,-24.66366957204375
Plot 1018,Extension 2, Gaborone,25.91486444875722,-24.66360528013258
Plot 1019,Extension 2, Gaborone,25.91480215743632,-24.66355708457591
Plot 1020,Extension 2, Gaborone,25.91473114494367,-24.66356931473345
NO_RESULTS,NO_RESULTS, NO_RESULTS,0.0,0.0
NO_RESULTS,NO_RESULTS, NO_RESULTS,0.0,0.0
Plot 1023,Extension 2, Gaborone,25.9147006444519,-24.66374015766492
NO_RESULTS,NO_RESULTS, NO_RESULTS,0.0,0.0
NO_RESULTS,NO_RESULTS, NO_RESULTS,0.0,0.0
NO_RESULTS,NO_RESULTS, NO_RESULTS,0.0,0.0
NO_RESULTS,NO_RESULTS, NO_RESULTS,0.0,0.0
Plot 1028,Extension 2, Gaborone,25.915278417807,-24.66414687111663
Plot 1029,Extension 2, Gaborone,25.91541858775491,-24.66430724486939
Plot 1030,Extension 2, Gaborone,25.91491002094195,-24.66279750541301
Plot 1031,Extension 2, Gaborone,25.91477715615018,-24.6627529502179
Plot 1032,Extension 2, Gaborone,25.91464113094309,-24.66264663697471
Plot 1033,Extension 2, Gaborone,25.91453088794223,-24.66255348223395
Plot 1034,Extension 2, Gaborone,25.91479960433901,-24.66234442302546
Plot 1035,Extension 2, Gaborone,25.91489408403092,-24.66227143927747
Plot 1036,Extension 2, Gaborone,25.91488743564104,-24.66215546883426
Plot 1037,Extension 2, Gaborone,25.91496688749056,-24.66199396917929
Plot 1038,Extension 2, Gaborone,25.91507317843672,-24.66171113141123
Plot 1039,Extension 2, Gaborone,25.91494774278196,-24.66179765607622
Plot 1040,Extension 2, Gaborone,25.91488449728092,-24.66191804047109
Plot 1041,Extension 2, Gaborone,25.9147664162607,-24.66206451488336
Plot 1042,Extension 2, Gaborone,25.91464963977372,-24.66218027499422
Plot 1043,Extension 2, Gaborone,25.91454740004771,-24.66228820097191
Plot 1044,Extension 2, Gaborone,25.91438558459793,-24.66240474599118
Plot 1045,Extension 2, Gaborone,25.9139728964987,-24.6620415453788
Plot 1046,Extension 2, Gaborone,25.91408557301352,-24.66191254953758
Plot 1047,Extension 2, Gaborone,25.91419402956778,-24.66179536141581
Plot 1048,Extension 2, Gaborone,25.91430041886149,-24.66168990046268
Plot 1049,Extension 2, Gaborone,25.91441018766458,-24.66158050244973
Plot 1050,Extension 2, Gaborone,25.91457657728888,-24.66148601094197
Plot 1051,Extension 2, Gaborone,25.91439345737211,-24.66138812876699
Plot 1052,Extension 2, Gaborone,25.91432017165955,-24.66152829560922
Plot 1053,Extension 2, Gaborone,25.91418720194955,-24.66166152448692
Plot 1054,Extension 2, Gaborone,25.91405085815173,-24.66179816931208
Plot 1055,Extension 2, Gaborone,25.91390421722449,-24.66192012753434
Plot 1056,Extension 2, Gaborone,25.91347278554051,-24.66158240009096
Plot 1057,Extension 2, Gaborone,25.91360579054934,-24.66140256844018
Plot 1058,Extension 2, Gaborone,25.91372073284484,-24.66128605251239
Plot 1059,Extension 2, Gaborone,25.91385512124479,-24.66123157721325
Plot 1059,Extension 15, Gaborone,25.94231027950248,-24.66855757008876
Plot 1060,Extension 2, Gaborone,25.9136757849209,-24.66113556209193
Plot 1060,Extension 15, Gaborone,25.94266765449902,-24.66854888620498
Plot 1061,Extension 2, Gaborone,25.91355771828441,-24.66131575588103
Plot 1062,Extension 2, Gaborone,25.91340190655637,-24.66147753189196
Plot 1063,Extension 2, Gaborone,25.91324159513555,-24.66163905668985
Plot 1064,Extension 2, Gaborone,25.91308119469221,-24.66179643975931
Plot 1065,Extension 2, Gaborone,25.91285423095806,-24.66198903240036
Plot 1066,Extension 2, Gaborone,25.91252298014896,-24.66170215396442
Plot 1067,Extension 2, Gaborone,25.91266904598568,-24.66145776758476
Plot 1068,Extension 2, Gaborone,25.9127973454487,-24.66125815098958
Plot 1069,Extension 2, Gaborone,25.91294874356442,-24.6610470633114
Plot 1070,Extension 2, Gaborone,25.91313985808823,-24.66089094610841
Plot 1070,Unsorted, Gaborone,25.85845380960849,-24.65577570307324
Plot 1071,Extension 2, Gaborone,25.91516030090374,-24.66180796483191
Plot 1072,Extension 2, Gaborone,25.91638511435227,-24.66385244457907
Plot 1072,Unsorted, Gaborone,25.91116386213908,-24.64413908953619
